pid,text_cluster_label,text_cl_mean_pop_train,text_cl_median_pop_train,text_cl_std_pop_train,text_cl_valid_pop_count_train,text_cl_total_items_train,visual_cluster_label,vis_cl_mean_pop_train,vis_cl_median_pop_train,vis_cl_std_pop_train,vis_cl_valid_pop_count_train,vis_cl_total_items_train,user_cluster_label,user_cl_mean_pop_train,user_cl_median_pop_train,user_cl_std_pop_train,user_cl_valid_pop_count_train,user_cl_total_items_train,audio_cluster_label,audio_cl_mean_pop_train,audio_cl_median_pop_train,audio_cl_std_pop_train,audio_cl_valid_pop_count_train,audio_cl_total_items_train
POST00001539,81,6.8375,6.2700,2.9659,16,16,68,8.2361,8.6300,2.0590,33,33,173,7.0037,7.2500,3.2126,551,551,22,7.7262,7.4700,2.5040,47,47
POST00003326,220,7.6667,7.2850,3.1773,12,12,126,9.0550,8.9600,2.5110,14,14,114,9.0331,9.8000,2.2016,16,16,89,8.0492,8.6700,3.2404,25,25
POST00001255,296,8.2783,9.0000,2.7719,12,12,68,8.2361,8.6300,2.0590,33,33,37,7.9380,8.0250,2.8431,208,208,240,6.8064,6.3800,2.9804,25,25
POST00002288,81,6.8375,6.2700,2.9659,16,16,68,8.2361,8.6300,2.0590,33,33,114,9.0331,9.8000,2.2016,16,16,286,8.2765,9.5100,2.5171,23,23
POST00000986,152,9.6290,10.2500,1.8195,10,10,68,8.2361,8.6300,2.0590,33,33,173,7.0037,7.2500,3.2126,551,551,278,8.4512,8.6300,2.7432,17,17
POST00002187,220,7.6667,7.2850,3.1773,12,12,68,8.2361,8.6300,2.0590,33,33,291,9.1751,9.5700,2.3178,71,71,51,7.7885,8.2650,2.4256,34,34
POST00001245,152,9.6290,10.2500,1.8195,10,10,68,8.2361,8.6300,2.0590,33,33,173,7.0037,7.2500,3.2126,551,551,148,6.0511,6.0100,3.2556,18,18
POST00002780,216,8.4211,8.7900,1.7647,9,9,68,8.2361,8.6300,2.0590,33,33,135,6.7740,6.9300,2.4607,117,117,13,7.8318,7.1750,3.3037,34,34
POST00001476,11,8.0900,8.7050,2.7072,18,18,10,7.9909,8.8000,3.1637,23,23,37,7.9380,8.0250,2.8431,208,208,127,8.8096,9.3600,3.1667,23,23
POST00003622,152,9.6290,10.2500,1.8195,10,10,68,8.2361,8.6300,2.0590,33,33,173,7.0037,7.2500,3.2126,551,551,237,8.7154,9.6550,2.8392,24,24
POST00001826,41,7.0838,6.8550,3.0678,16,16,68,8.2361,8.6300,2.0590,33,33,37,7.9380,8.0250,2.8431,208,208,69,7.8389,8.1200,2.6549,38,38
POST00003897,156,8.5891,9.2900,2.6729,22,22,237,9.0813,9.4400,2.1313,23,23,155,10.0731,10.2800,1.9949,49,49,77,7.6969,7.9100,2.7805,13,13
POST00002885,74,7.6850,6.6300,3.3808,4,4,187,7.3889,7.1300,3.0926,19,19,91,8.6459,9.0900,2.4463,22,22,19,8.5625,8.7900,2.6544,32,32
POST00003504,220,7.6667,7.2850,3.1773,12,12,186,8.3052,8.6800,2.8566,33,33,199,7.9763,7.8400,2.2405,46,46,284,8.4144,9.6600,2.7193,16,16
POST00003819,220,7.6667,7.2850,3.1773,12,12,37,8.9855,8.7000,2.3520,11,11,122,9.5120,9.9400,2.3059,5,5,249,7.1400,7.4600,3.1890,19,19
POST00003591,254,5.9018,5.1300,2.9341,11,11,224,7.8133,7.5550,2.2298,12,12,103,7.6104,7.3900,2.3677,25,25,221,9.8296,10.4850,2.4401,24,24
POST00002841,220,7.6667,7.2850,3.1773,12,12,264,11.0400,11.2800,0.5600,3,3,198,10.9350,10.8850,0.4993,8,8,89,8.0492,8.6700,3.2404,25,25
POST00000841,168,9.1113,9.9600,3.0394,16,16,70,9.2457,9.9000,2.5642,40,40,119,8.7883,9.0000,2.0677,12,12,5,8.3744,9.7250,3.0050,18,18
POST00000536,141,8.1288,9.7300,3.3383,25,25,195,9.7329,10.4100,2.0213,17,17,139,10.4187,11.5500,2.4494,15,15,5,8.3744,9.7250,3.0050,18,18
POST00002413,85,8.5469,9.0900,2.9821,16,16,76,7.6750,8.2250,2.2417,4,4,37,7.9380,8.0250,2.8431,208,208,5,8.3744,9.7250,3.0050,18,18
POST00001959,5,8.9029,9.7900,2.3234,14,14,127,8.2375,8.2100,2.8806,16,16,50,7.9657,9.7300,3.4159,7,7,19,8.5625,8.7900,2.6544,32,32
POST00002935,286,8.9032,9.9300,3.0447,28,28,197,9.6617,9.8200,2.0702,18,18,189,9.1243,9.9300,2.4736,7,7,5,8.3744,9.7250,3.0050,18,18
POST00003454,18,8.9796,9.7500,2.2655,23,23,70,9.2457,9.9000,2.5642,40,40,212,7.0279,7.6500,2.8146,47,47,5,8.3744,9.7250,3.0050,18,18
POST00002447,141,8.1288,9.7300,3.3383,25,25,176,10.0087,9.9400,2.0552,15,15,240,7.4738,7.4900,2.9720,177,177,34,9.2400,9.7300,2.1635,17,17
POST00003799,206,7.8857,8.0800,2.5223,23,23,95,7.7280,7.4100,3.0715,25,25,173,7.0037,7.2500,3.2126,551,551,5,8.3744,9.7250,3.0050,18,18
POST00002550,141,8.1288,9.7300,3.3383,25,25,11,8.8628,9.4300,2.5187,29,29,242,7.3911,7.3900,2.4989,19,19,5,8.3744,9.7250,3.0050,18,18
POST00002070,240,7.9756,7.4900,3.2012,25,25,237,9.0813,9.4400,2.1313,23,23,135,6.7740,6.9300,2.4607,117,117,5,8.3744,9.7250,3.0050,18,18
POST00001503,99,9.0721,9.4200,2.1856,24,24,4,9.6054,9.6800,2.4206,28,28,245,7.2367,6.9200,2.7513,18,18,36,7.7108,7.0700,3.1263,13,13
POST00002777,13,9.8289,10.1200,2.5959,19,19,134,9.3180,10.7200,3.6560,15,15,29,8.3200,8.7350,2.5137,30,30,5,8.3744,9.7250,3.0050,18,18
POST00003363,286,8.9032,9.9300,3.0447,28,28,70,9.2457,9.9000,2.5642,40,40,175,8.0062,8.3400,2.9708,73,73,128,8.0000,9.2100,2.8614,15,15
POST00000551,141,8.1288,9.7300,3.3383,25,25,126,9.0550,8.9600,2.5110,14,14,286,5.8500,5.8500,0.0000,1,1,5,8.3744,9.7250,3.0050,18,18
POST00003088,85,8.5469,9.0900,2.9821,16,16,76,7.6750,8.2250,2.2417,4,4,37,7.9380,8.0250,2.8431,208,208,5,8.3744,9.7250,3.0050,18,18
POST00003599,79,8.8473,10.4450,3.4931,22,22,16,8.2365,10.1500,3.4683,26,26,37,7.9380,8.0250,2.8431,208,208,91,7.4264,8.1500,2.2211,11,11
POST00001935,286,8.9032,9.9300,3.0447,28,28,124,7.0452,6.6700,2.4794,25,25,189,9.1243,9.9300,2.4736,7,7,27,8.1646,8.7200,3.3648,24,24
POST00003366,18,8.9796,9.7500,2.2655,23,23,157,8.5102,9.4100,3.1381,41,41,173,7.0037,7.2500,3.2126,551,551,199,7.1400,6.4900,3.3109,15,15
POST00002847,144,9.6577,10.8200,3.1420,13,13,49,8.0800,7.9600,1.8405,6,6,119,8.7883,9.0000,2.0677,12,12,31,7.4425,9.4050,3.6400,12,12
POST00003281,243,8.8763,10.0500,2.3066,19,19,70,9.2457,9.9000,2.5642,40,40,173,7.0037,7.2500,3.2126,551,551,91,7.4264,8.1500,2.2211,11,11
POST00003339,196,9.4686,10.6800,3.6130,7,7,237,9.0813,9.4400,2.1313,23,23,199,7.9763,7.8400,2.2405,46,46,96,8.3417,9.4600,2.7079,29,29
POST00002347,184,9.6974,10.2000,2.6773,23,23,149,6.4407,6.1100,2.3464,14,14,50,7.9657,9.7300,3.4159,7,7,5,8.3744,9.7250,3.0050,18,18
POST00001230,146,9.2265,9.6400,2.4415,26,26,10,7.9909,8.8000,3.1637,23,23,173,7.0037,7.2500,3.2126,551,551,240,6.8064,6.3800,2.9804,25,25
POST00001208,162,8.2142,8.4200,2.4059,19,19,216,8.2811,8.2500,2.5707,18,18,212,7.0279,7.6500,2.8146,47,47,128,8.0000,9.2100,2.8614,15,15
POST00001046,101,9.1575,9.2500,1.4235,4,4,10,7.9909,8.8000,3.1637,23,23,173,7.0037,7.2500,3.2126,551,551,22,7.7262,7.4700,2.5040,47,47
POST00001005,11,8.0900,8.7050,2.7072,18,18,13,9.3895,9.6000,1.9818,20,20,167,7.8588,8.7300,3.0201,74,74,115,8.5252,8.8500,2.1127,31,31
POST00002283,239,6.5540,6.5800,1.3152,5,5,130,9.3260,10.1600,2.6082,15,15,211,6.4793,6.5400,3.1914,27,27,57,9.7932,10.0500,2.2033,25,25
POST00003098,65,9.2143,9.5800,1.8556,21,21,130,9.3260,10.1600,2.6082,15,15,103,7.6104,7.3900,2.3677,25,25,191,8.5394,8.9000,3.1352,35,35
POST00002124,18,8.9796,9.7500,2.2655,23,23,35,8.0510,8.9000,3.3146,31,31,106,5.9542,4.9200,3.1630,31,31,62,7.8131,8.1800,3.3736,13,13
POST00001971,65,9.2143,9.5800,1.8556,21,21,130,9.3260,10.1600,2.6082,15,15,252,8.7382,9.0900,2.5365,28,28,49,7.7263,7.7500,2.2051,24,24
POST00002811,184,9.6974,10.2000,2.6773,23,23,293,8.4845,8.9300,2.5590,20,20,202,8.5100,9.9100,3.4623,5,5,147,7.6523,8.3300,3.3390,26,26
POST00001140,129,9.7867,10.4200,1.2997,9,9,99,8.0739,8.3250,2.7396,38,38,6,7.5673,7.9800,2.3013,15,15,126,8.7757,9.2300,2.8002,23,23
POST00000289,129,9.7867,10.4200,1.2997,9,9,299,9.1567,8.5500,1.4314,6,6,30,10.7155,10.9000,1.4748,33,33,240,6.8064,6.3800,2.9804,25,25
POST00002230,202,8.2907,8.2400,2.1203,15,15,35,8.0510,8.9000,3.3146,31,31,285,8.6908,9.6850,2.6444,36,36,74,8.6883,8.3550,2.6478,18,18
POST00000924,129,9.7867,10.4200,1.2997,9,9,299,9.1567,8.5500,1.4314,6,6,173,7.0037,7.2500,3.2126,551,551,266,8.7018,9.0350,2.4003,22,22
POST00001251,129,9.7867,10.4200,1.2997,9,9,208,7.5066,7.9400,3.2007,29,29,172,8.5511,8.7700,2.3476,19,19,30,8.4257,9.1300,3.3873,14,14
POST00001104,181,10.3350,10.3350,0.7142,2,2,275,7.1335,7.3700,2.8158,23,23,158,7.9362,8.0950,2.6864,42,42,289,8.8200,9.6000,3.0584,19,19
POST00000983,181,10.3350,10.3350,0.7142,2,2,68,8.2361,8.6300,2.0590,33,33,292,8.1544,8.0950,2.6865,126,126,50,7.4831,7.1750,2.6931,16,16
POST00000895,15,10.9906,11.3400,1.7332,16,16,211,9.1242,9.5550,3.2667,12,12,175,8.0062,8.3400,2.9708,73,73,217,9.9853,11.1000,3.1434,17,17
POST00002082,240,7.9756,7.4900,3.2012,25,25,186,8.3052,8.6800,2.8566,33,33,292,8.1544,8.0950,2.6865,126,126,128,8.0000,9.2100,2.8614,15,15
POST00002590,162,8.2142,8.4200,2.4059,19,19,13,9.3895,9.6000,1.9818,20,20,218,10.2343,9.9950,1.5481,14,14,123,9.3179,10.0200,2.7701,28,28
POST00002295,144,9.6577,10.8200,3.1420,13,13,13,9.3895,9.6000,1.9818,20,20,218,10.2343,9.9950,1.5481,14,14,123,9.3179,10.0200,2.7701,28,28
POST00001355,144,9.6577,10.8200,3.1420,13,13,186,8.3052,8.6800,2.8566,33,33,155,10.0731,10.2800,1.9949,49,49,9,8.2082,7.9450,2.8896,22,22
POST00001261,144,9.6577,10.8200,3.1420,13,13,13,9.3895,9.6000,1.9818,20,20,218,10.2343,9.9950,1.5481,14,14,172,7.7414,8.1650,2.6974,14,14
POST00003652,146,9.2265,9.6400,2.4415,26,26,186,8.3052,8.6800,2.8566,33,33,152,7.9479,7.9550,2.2186,66,66,289,8.8200,9.6000,3.0584,19,19
POST00000707,222,8.9585,9.6200,3.1465,13,13,282,8.2559,8.9400,2.8333,29,29,229,10.4674,10.7700,1.9798,35,35,8,9.3393,9.7100,3.0221,15,15
POST00003227,141,8.1288,9.7300,3.3383,25,25,275,7.1335,7.3700,2.8158,23,23,191,7.9661,8.4550,2.5212,18,18,204,8.3570,8.4100,2.4246,23,23
POST00003015,291,9.2078,9.1700,1.9312,9,9,275,7.1335,7.3700,2.8158,23,23,191,7.9661,8.4550,2.5212,18,18,66,9.2224,9.0850,2.1508,38,38
POST00001917,291,9.2078,9.1700,1.9312,9,9,58,8.9850,9.1000,1.8554,18,18,279,10.8562,10.9800,1.8521,29,29,215,9.8180,10.2600,2.6965,10,10
POST00002710,227,8.4856,8.5450,2.8417,36,36,232,6.7600,6.3250,2.5614,38,38,240,7.4738,7.4900,2.9720,177,177,158,9.0622,8.9600,1.9544,23,23
POST00000024,171,9.0780,9.7100,2.5888,20,20,9,7.0267,6.6100,3.4231,15,15,152,7.9479,7.9550,2.2186,66,66,103,8.5798,8.9800,2.4394,44,44
POST00003760,144,9.6577,10.8200,3.1420,13,13,278,7.7525,7.8350,2.8181,20,20,160,6.5310,5.4550,2.3973,10,10,49,7.7263,7.7500,2.2051,24,24
POST00003850,240,7.9756,7.4900,3.2012,25,25,173,8.7387,8.6750,0.9915,8,8,173,7.0037,7.2500,3.2126,551,551,34,9.2400,9.7300,2.1635,17,17
POST00003975,240,7.9756,7.4900,3.2012,25,25,173,8.7387,8.6750,0.9915,8,8,173,7.0037,7.2500,3.2126,551,551,297,7.8750,7.4800,1.8494,10,10
POST00003287,117,9.1050,8.8250,1.0567,6,6,109,7.9387,8.7550,3.3020,16,16,173,7.0037,7.2500,3.2126,551,551,125,8.2442,9.0900,3.1165,12,12
POST00001398,117,9.1050,8.8250,1.0567,6,6,176,10.0087,9.9400,2.0552,15,15,173,7.0037,7.2500,3.2126,551,551,22,7.7262,7.4700,2.5040,47,47
POST00003921,117,9.1050,8.8250,1.0567,6,6,249,8.3829,8.1100,2.0605,21,21,55,10.3900,10.2100,1.1874,5,5,247,9.5757,10.0400,2.5539,21,21
POST00001625,117,9.1050,8.8250,1.0567,6,6,219,6.7771,7.0750,2.3218,14,14,31,9.0200,9.0200,1.4425,2,2,96,8.3417,9.4600,2.7079,29,29
POST00001163,174,6.7263,7.1800,3.1053,16,16,211,9.1242,9.5550,3.2667,12,12,63,8.2053,8.3000,2.4422,19,19,110,9.0417,9.4600,2.4488,29,29
POST00001190,294,10.0800,10.0800,1.2021,2,2,56,9.3925,9.2850,1.3917,4,4,29,8.3200,8.7350,2.5137,30,30,240,6.8064,6.3800,2.9804,25,25
POST00000249,176,8.0237,8.8800,3.2662,19,19,273,9.0521,9.0050,2.1942,14,14,85,8.8757,8.6200,1.7894,7,7,97,8.2269,8.1400,2.1386,29,29
POST00002408,88,9.8050,10.1750,1.7741,4,4,156,8.2022,8.2600,2.1207,23,23,173,7.0037,7.2500,3.2126,551,551,37,8.3861,8.9900,2.5505,36,36
POST00001829,23,9.5533,9.8200,2.1620,9,9,56,9.3925,9.2850,1.3917,4,4,135,6.7740,6.9300,2.4607,117,117,82,7.7000,7.8200,2.6747,12,12
POST00002928,139,8.7815,9.6100,2.7606,13,13,193,8.2947,8.3650,2.4029,38,38,37,7.9380,8.0250,2.8431,208,208,45,9.6706,10.7500,2.7774,16,16
POST00001572,105,6.2514,4.8800,3.3747,14,14,109,7.9387,8.7550,3.3020,16,16,285,8.6908,9.6850,2.6444,36,36,71,9.0213,8.9000,2.9178,16,16
POST00001606,152,9.6290,10.2500,1.8195,10,10,58,8.9850,9.1000,1.8554,18,18,173,7.0037,7.2500,3.2126,551,551,134,8.6836,8.9000,2.3289,14,14
POST00000154,152,9.6290,10.2500,1.8195,10,10,156,8.2022,8.2600,2.1207,23,23,225,8.4307,8.6250,2.1040,28,28,265,9.3919,9.4200,2.1402,27,27
POST00001663,150,7.6800,8.0800,2.6704,9,9,105,7.5819,7.7950,2.7212,16,16,21,7.9446,8.0800,2.2530,35,35,15,10.0000,10.5700,2.7783,17,17
POST00000070,150,7.6800,8.0800,2.6704,9,9,105,7.5819,7.7950,2.7212,16,16,220,10.0200,10.0950,0.6686,4,4,19,8.5625,8.7900,2.6544,32,32
POST00002175,212,7.5475,8.0350,2.0963,20,20,58,8.9850,9.1000,1.8554,18,18,80,7.7191,7.9000,2.7339,92,92,10,7.4537,8.0750,2.8722,30,30
POST00000965,150,7.6800,8.0800,2.6704,9,9,105,7.5819,7.7950,2.7212,16,16,53,7.1493,6.6300,3.0212,56,56,114,7.6040,7.2200,2.9422,5,5
POST00001287,150,7.6800,8.0800,2.6704,9,9,58,8.9850,9.1000,1.8554,18,18,152,7.9479,7.9550,2.2186,66,66,151,9.3718,10.0100,2.3917,40,40
POST00001928,291,9.2078,9.1700,1.9312,9,9,58,8.9850,9.1000,1.8554,18,18,48,5.1064,4.6100,2.8524,25,25,29,9.5722,10.4900,2.7429,9,9
POST00001128,117,9.1050,8.8250,1.0567,6,6,58,8.9850,9.1000,1.8554,18,18,17,7.1664,7.8050,2.8953,14,14,158,9.0622,8.9600,1.9544,23,23
POST00001124,294,10.0800,10.0800,1.2021,2,2,156,8.2022,8.2600,2.1207,23,23,21,7.9446,8.0800,2.2530,35,35,125,8.2442,9.0900,3.1165,12,12
POST00001123,88,9.8050,10.1750,1.7741,4,4,5,8.5988,9.0800,2.5991,24,24,20,10.6900,10.6900,0.0000,1,1,43,8.2483,9.2600,3.3659,6,6
